Direction,Flat_Lots,Cmpd_Lots,Open_Date,Entry_Price,Exit_Price,Close_Date,Flat_PnL,Cmpd_PnL,Flat_Return,Cmpd_Return,Status,Session
LONG,0.10,0.10,2026-01-29 15:00,$84758.59,$83911.01,2026-01-29 18:00,$-84.76,$-84.76,-1.00%,-1.00%,Closed SL (Loss),London
LONG,0.10,0.10,2026-01-29 18:00,$83441.05,$82606.64,2026-01-30 01:00,$-83.44,$-83.44,-1.00%,-1.00%,Closed SL (Loss),New York
LONG,0.10,0.10,2026-01-31 14:00,$81360.44,$80546.83,2026-01-31 16:00,$-81.36,$-81.36,-1.00%,-1.00%,Closed SL (Loss),London
LONG,0.10,0.10,2026-01-31 16:00,$80141.04,$79339.63,2026-01-31 17:00,$-80.14,$-80.14,-1.00%,-1.00%,Closed SL (Loss),New York
LONG,0.10,0.10,2026-01-31 17:00,$78709.90,$77922.80,2026-01-31 18:00,$-78.71,$-78.71,-1.00%,-1.00%,Closed SL (Loss),New York
LONG,0.10,0.10,2026-01-31 18:00,$77837.17,$77058.80,2026-01-31 20:00,$-77.84,$-77.84,-1.00%,-1.00%,Closed SL (Loss),New York
LONG,0.10,0.10,2026-02-03 17:00,$74846.29,$74097.83,2026-02-03 18:00,$-74.85,$-74.85,-1.00%,-1.00%,Closed SL (Loss),New York
LONG,0.10,0.10,2026-02-03 18:00,$73178.65,$74358.21,2026-02-03 19:00,$117.96,$117.96,1.61%,1.61%,Closed TP1 (Trailed),New York
LONG,0.10,0.20,2026-02-04 17:00,$72488.21,$73169.23,2026-02-04 18:00,$68.10,$136.20,0.94%,0.94%,Closed TP1 (Trailed),New York
LONG,0.10,0.30,2026-02-05 15:00,$67298.31,$67781.22,2026-02-05 16:00,$48.29,$144.87,0.72%,0.72%,Closed TP1 (Trailed),London
LONG,0.10,0.40,2026-02-05 17:00,$66066.13,$65405.47,2026-02-05 18:00,$-66.07,$-264.26,-1.00%,-1.00%,Closed SL (Loss),New York
LONG,0.10,0.10,2026-02-05 19:00,$65136.61,$64485.24,2026-02-05 20:00,$-65.14,$-65.14,-1.00%,-1.00%,Closed SL (Loss),New York
LONG,0.10,0.10,2026-02-05 20:00,$63543.18,$62907.74,2026-02-05 22:00,$-63.54,$-63.54,-1.00%,-1.00%,Closed SL (Loss),New York
LONG,0.10,0.10,2026-02-11 06:00,$66750.91,$67878.75,2026-02-11 14:00,$112.78,$112.78,1.69%,1.69%,Closed TP1 (Trailed),Tokyo
LONG,0.10,0.20,2026-02-17 14:00,$66916.46,$67388.79,2026-02-17 16:00,$47.23,$94.47,0.71%,0.71%,Closed TP1 (Trailed),London
LONG,0.10,0.30,2026-02-23 01:00,$64598.59,$65105.35,2026-02-23 06:00,$50.68,$152.03,0.78%,0.78%,Closed TP1 (Trailed),Tokyo
LONG,0.10,0.40,2026-02-27 12:00,$65805.47,$65147.41,2026-02-27 22:00,$-65.81,$-263.22,-1.00%,-1.00%,Closed SL (Loss),London
LONG,0.10,0.10,2026-02-28 06:00,$63106.07,$63620.13,2026-02-28 07:00,$51.41,$51.41,0.81%,0.81%,Closed TP1 (Trailed),Tokyo
LONG,0.10,0.20,2026-03-03 09:00,$66648.62,$67077.19,2026-03-03 12:00,$42.86,$85.71,0.64%,0.64%,Closed TP1 (Trailed),London
LONG,0.10,0.30,2026-03-06 14:00,$68341.33,$67657.91,2026-03-07 07:00,$-68.34,$-205.02,-1.00%,-1.00%,Closed SL (Loss),London
LONG,0.10,0.10,2026-03-08 04:00,$66647.52,$67488.74,2026-03-08 11:00,$84.12,$84.12,1.26%,1.26%,Closed TP1 (Trailed),Tokyo
LONG,0.10,0.20,2026-03-08 23:00,$65990.98,$66967.61,2026-03-09 03:00,$97.66,$195.33,1.48%,1.48%,Closed TP1 (Trailed),Sydney
LONG,0.10,0.30,2026-03-18 12:00,$72383.36,$71659.53,2026-03-18 14:00,$-72.38,$-217.15,-1.00%,-1.00%,Closed SL (Loss),London
LONG,0.10,0.10,2026-03-18 14:00,$71315.33,$70602.17,2026-03-19 06:00,$-71.32,$-71.32,-1.00%,-1.00%,Closed SL (Loss),London
LONG,0.10,0.10,2026-03-21 23:00,$68875.70,$68186.95,2026-03-22 19:00,$-68.88,$-68.88,-1.00%,-1.00%,Closed SL (Loss),Sydney
LONG,0.10,0.10,2026-03-26 10:00,$69460.29,$68765.69,2026-03-26 17:00,$-69.46,$-69.46,-1.00%,-1.00%,Closed SL (Loss),London
LONG,0.10,0.10,2026-03-27 10:00,$66486.01,$65821.15,2026-03-27 14:00,$-66.49,$-66.49,-1.00%,-1.00%,Closed SL (Loss),London
LONG,0.10,0.10,2026-04-05 06:00,$66825.31,$67642.23,2026-04-05 22:00,$81.69,$81.69,1.22%,1.22%,Closed TP1 (Trailed),Tokyo
