Trade,Date,Direction,Entry_Price,Exit_Price,Result,Gross_PnL,Entry_Fee,Exit_Fee,Net_PnL,Cumulative_PnL,Duration_Hours
13,2026-02-04 17:00,SHORT,76421.3046875,73364.4525,TP,305.68521875000005,7.6421304687500005,7.336445250000001,290.70664303125005,513.9625877656249,9.0
14,2026-02-06 14:00,SHORT,67311.828125,68119.5700625,SL,-80.77419375000028,6.7311828125,6.811957006250001,-94.31733356875027,419.64525419687465,1.0
15,2026-02-06 16:00,SHORT,68182.078125,69000.2630625,SL,-81.8184937500002,6.818207812500001,6.900026306250001,-95.5367278687502,324.1085263281244,2.0
16,2026-02-06 17:00,SHORT,69743.1484375,70580.06621875,SL,-83.69177812499984,6.97431484375,7.058006621875,-97.72409959062483,226.38442673749958,1.0
17,2026-02-07 10:00,SHORT,70801.6171875,67969.55249999999,TP,283.20646875000097,7.08016171875,6.796955249999999,269.329351781251,495.7137785187506,17.0
18,2026-02-10 11:00,SHORT,71404.6875,68548.5,TP,285.61875000000003,7.14046875,6.854850000000001,271.62343125,767.3372097687507,46.0
19,2026-02-13 15:00,SHORT,66946.578125,67749.9370625,SL,-80.33589375000011,6.694657812500001,6.77499370625,-93.80554526875011,673.5316645000005,5.0
20,2026-02-14 08:00,SHORT,68573.484375,69396.3661875,SL,-82.28818124999962,6.857348437500001,6.93963661875,-96.08516630624962,577.4464981937508,17.0
21,2026-02-15 07:00,SHORT,69616.640625,70452.0403125,SL,-83.53996875000013,6.961664062500001,7.045204031250001,-97.54683684375013,479.89966135000066,21.0
22,2026-02-16 15:00,SHORT,70750.796875,67920.765,TP,283.0031875000001,7.075079687500001,6.7920765,269.13603131250005,749.0356926625008,32.0
23,2026-02-20 05:00,SHORT,66813.484375,67615.2461875,SL,-80.17618125000008,6.6813484375000005,6.761524618750001,-93.61905430625009,655.4166383562507,20.0
24,2026-02-23 01:00,SHORT,67835.203125,65121.795,TP,271.3408125000002,6.783520312500001,6.5121795,258.0451126875002,913.4617510437508,67.0
25,2026-02-25 14:00,SHORT,65926.2578125,66717.37290625,SL,-79.11150937500061,6.592625781250001,6.671737290625002,-92.37587244687562,821.0858785968752,13.0
26,2026-02-25 16:00,SHORT,66909.9296875,67712.84884375,SL,-80.29191562500056,6.690992968750001,6.771284884375001,-93.75419347812556,727.3316851187498,2.0
27,2026-02-25 18:00,SHORT,68298.890625,69118.4773125,SL,-81.95866875000065,6.8298890625,6.911847731250001,-95.70040554375066,631.631279574999,2.0
28,2026-02-27 16:00,SHORT,68287.078125,65555.595,TP,273.1483124999999,6.828707812500001,6.5555595,259.7640451874999,891.3953247624991,39.0
29,2026-03-02 15:00,SHORT,67271.4453125,68078.70265625,SL,-80.7257343749996,6.7271445312500004,6.807870265625,-94.26074917187461,797.1345755906243,38.0
30,2026-03-03 09:00,SHORT,69511.75,66731.28,TP,278.04700000000014,6.951175,6.673128000000001,264.42269700000014,1061.5572725906245,17.0
31,2026-03-04 08:00,LONG,67054.8515625,69737.045625,TP,268.2194062499999,6.705485156250001,6.9737045625,254.5402165312499,1316.0974891218743,21.0
32,2026-03-04 15:00,SHORT,71028.4296875,71880.77084375,SL,-85.23411562499969,7.10284296875,7.188077084375,-99.52503567812468,1216.5724534437497,7.0
33,2026-03-06 11:00,SHORT,73245.125,70315.31999999999,TP,292.98050000000075,7.324512500000001,7.0315319999999994,278.6244555000007,1495.1969089437505,44.0
34,2026-03-10 02:00,SHORT,69038.953125,69867.4205625,SL,-82.84674375000031,6.9038953125,6.9867420562500016,-96.7373811187503,1398.4595278250001,13.0
35,2026-03-10 14:00,SHORT,70282.6640625,71126.05603125,SL,-84.3391968750002,7.028266406250001,7.112605603125001,-98.4800688843752,1299.979458940625,12.0
36,2026-03-13 10:00,LONG,69403.859375,72180.01375,TP,277.6154374999998,6.9403859375,7.218001375,263.4570501874998,1563.4365091281247,30.0
37,2026-03-13 13:00,SHORT,72489.6875,73359.56375,SL,-86.98762500000012,7.24896875,7.335956375000001,-101.57255012500012,1461.8639590031246,3.0
38,2026-03-14 09:00,SHORT,73510.8046875,70570.3725,TP,294.0432187500002,7.35108046875,7.0570372500000005,279.6351010312502,1741.499060034375,20.0
39,2026-03-16 03:00,LONG,70563.671875,73386.21875,TP,282.2546875,7.0563671875,7.338621875000001,267.8596984375,2009.3587584718748,41.0
40,2026-03-16 22:00,SHORT,73661.484375,74545.42218750001,SL,-88.39378125000076,7.366148437500001,7.454542218750001,-103.21447190625076,1906.144286565624,19.0
41,2026-03-18 12:00,SHORT,75620.7421875,72595.91249999999,TP,302.4829687500009,7.56207421875,7.25959125,287.66130328125087,2193.8055898468747,35.0
42,2026-03-18 18:00,LONG,72050.671875,71186.0638125,SL,-86.46080625000032,7.205067187500001,7.11860638125,-100.78447981875033,2093.0211100281244,5.0
43,2026-03-22 21:00,SHORT,70785.0546875,67953.6525,TP,283.1402187500004,7.07850546875,6.79536525,269.2663480312504,2362.287458059375,65.0
44,2026-03-26 17:00,SHORT,71410.3125,68553.9,TP,285.6412500000006,7.14103125,6.85539,271.64482875000056,2633.9322868093755,76.0
45,2026-03-30 04:00,SHORT,66508.2421875,67306.34109375,SL,-79.80989062500012,6.65082421875,6.730634109375001,-93.19134895312513,2540.74093785625,45.0
46,2026-04-01 05:00,SHORT,67478.3203125,68288.06015625,SL,-80.97398437499942,6.74783203125,6.828806015624999,-94.55062242187442,2446.1903154343763,40.0
47,2026-04-02 04:00,SHORT,69125.265625,66360.255,TP,276.50106249999953,6.9125265625,6.636025500000001,262.95251043749954,2709.142825871875,22.0
48,2026-04-05 22:00,SHORT,67364.34375,68172.715875,SL,-80.83721249999945,6.736434375000001,6.8172715875,-94.39091846249946,2614.751907409376,31.0
49,2026-04-06 09:00,SHORT,68801.5390625,69627.15753125,SL,-82.56184687500064,6.88015390625,6.962715753125002,-96.40471653437564,2518.3471908750007,8.0
50,2026-04-07 22:00,SHORT,69734.3828125,70571.19540625,SL,-83.68125937500008,6.973438281250001,7.057119540625001,-97.71181719687507,2420.6353736781252,37.0
51,2026-04-09 17:00,SHORT,71457.9453125,72315.44065625001,SL,-85.7495343750008,7.145794531250001,7.231544065625001,-100.12687297187581,2320.5085007062494,40.0
