Date,Type,Entry_Price,Exit_Price,Gross_PnL,Fees,Net_PnL,Win,YearMonth,Year
2024-09-05 15:00,SHORT,58399.09765625,56063.13375,233.5963906249999,11.446223140625001,222.1501674843749,Yes,2024-09,2024
2024-09-09 00:00,SHORT,54357.84765625,55010.141828125,-65.22941718750008,10.936798948437502,-76.16621613593757,No,2024-09,2024
2024-09-09 10:00,SHORT,54652.68359375,55308.515796875,-65.5832203124999,10.9961199390625,-76.5793402515624,No,2024-09,2024
2024-09-09 16:00,SHORT,55355.8515625,56020.12178125,-66.42702187500036,11.137597334375002,-77.56461920937537,No,2024-09,2024
2024-09-10 19:00,SHORT,57163.04296875,57848.999484375,-68.59565156250028,11.501204245312502,-80.09685580781277,No,2024-09,2024
2024-09-11 13:00,LONG,56677.48046875,55997.350703125,-68.01297656250027,11.267483117187501,-79.28045967968778,No,2024-09,2024
2024-09-16 00:00,LONG,59820.88671875,59103.036078125,-71.78506406250017,11.892392279687503,-83.67745634218767,No,2024-09,2024
2024-09-16 14:00,LONG,58679.8515625,57975.69334375,-70.41582187500026,11.665554490625,-82.08137636562526,No,2024-09,2024
2024-09-17 14:00,SHORT,59220.04296875,59930.683484375004,-71.0640515625004,11.9150726453125,-82.9791242078129,No,2024-09,2024
2024-09-26 15:00,LONG,62629.88671875,65135.082187500004,250.5195468750004,12.776496890625001,237.7430499843754,Yes,2024-09,2024
2024-09-30 01:00,LONG,65546.28125,64759.725875,-78.65553750000036,13.0306007125,-91.68613821250037,No,2024-09,2024
2024-09-30 09:00,LONG,64757.0703125,63979.98546875,-77.70848437500027,12.873705578125,-90.58218995312527,No,2024-09,2024
2024-10-07 00:00,SHORT,62744.74609375,63497.683046875,-75.29369531249976,12.6242429140625,-87.91793822656227,No,2024-10,2024
2024-10-11 13:00,SHORT,60641.03125,61368.723625,-72.76923749999987,12.200975487500001,-84.97021298749988,No,2024-10,2024
2024-10-11 17:00,SHORT,61779.76953125,62521.126765625,-74.13572343749983,12.430089629687501,-86.56581306718734,No,2024-10,2024
2024-10-14 03:00,SHORT,62881.37890625,63635.955453125,-75.45765468750032,12.651733435937501,-88.10938812343782,No,2024-10,2024
2024-10-21 14:00,LONG,68149.21875,67331.428125,-81.77906249999943,13.548064687500002,-95.32712718749943,No,2024-10,2024
2024-10-23 10:00,LONG,67216.953125,66410.3496875,-80.66034375000018,13.362730281250002,-94.02307403125019,No,2024-10,2024
2024-10-24 13:00,SHORT,67021.5703125,67825.82915625,-80.42588437499944,13.484739946875,-93.91062432187444,No,2024-10,2024
2024-10-28 09:00,SHORT,67541.5390625,68352.03753125,-81.04984687499964,13.589357659375,-94.63920453437464,No,2024-10,2024
2024-11-01 01:00,LONG,70652.5859375,69804.75490625,-84.78310312499963,14.045734084375002,-98.82883720937463,No,2024-11,2024
2024-11-06 00:00,SHORT,69638.703125,70474.3675625,-83.56644375000033,14.011307068750002,-97.57775081875035,No,2024-11,2024
